Time,X,Y,Z
116.5,0,62.64540531,38.76615308
116.6,0,62.59079658,38.65686385
116.7,0,62.53599718,38.5476701
116.8,0,62.48100729,38.43857215
116.9,0,62.42582707,38.32957035
117,0,62.37045669,38.22066502
117.1,0,62.31489632,38.11185649
117.2,0,62.25914613,38.00314511
117.3,0,62.20320629,37.89453119
117.4,0,62.14707696,37.78601507
117.5,0,62.09075832,37.67759707
117.6,0,62.03425055,37.56927754
117.7,0,61.9775538,37.4610568
117.8,0,61.92066827,37.35293518
117.9,0,61.86359411,37.244913
118,0,61.8063315,37.1369906
118.1,0,61.74888062,37.02916831
118.2,0,61.69124164,36.92144646
118.3,0,61.63341475,36.81382537
118.4,0,61.5754001,36.70630537
118.5,0,61.51719789,36.59888678
118.6,0,61.45880828,36.49156994
118.7,0,61.40023146,36.38435518
118.8,0,61.3414676,36.27724281
118.9,0,61.28251689,36.17023317
119,0,61.2233795,36.06332658
119.1,0,61.16405561,35.95652337
119.2,0,61.10454541,35.84982386
119.3,0,61.04484907,35.74322838
119.4,0,60.98496678,35.63673725
119.5,0,60.92489872,35.53035079
119.6,0,60.86464507,35.42406934
119.7,0,60.80420601,35.31789321
119.8,0,60.74358174,35.21182273
119.9,0,60.68277243,35.10585822
120,0,60.62177826,35
120.1,0,60.56059944,34.8942484
120.2,0,60.49923614,34.78860374
120.3,0,60.43768854,34.68306633
120.4,0,60.37595684,34.57763651
120.5,0,60.31404123,34.47231459
120.6,0,60.25194189,34.3671009
120.7,0,60.18965901,34.26199575
120.8,0,60.12719279,34.15699946
120.9,0,60.0645434,34.05211236
121,0,60.00171105,33.94733476
121.1,0,59.93869592,33.84266698
121.2,0,59.87549821,33.73810934
121.3,0,59.81211811,33.63366217
121.4,0,59.74855581,33.52932577
121.5,0,59.6848115,33.42510047
121.6,0,59.62088539,33.32098658
121.7,0,59.55677766,33.21698442
121.8,0,59.49248851,33.11309432
121.9,0,59.42801813,33.00931657
122,0,59.36336673,32.9056515
122.1,0,59.2985345,32.80209943
122.2,0,59.23352163,32.69866068
122.3,0,59.16832833,32.59533554
122.4,0,59.10295479,32.49212435
122.5,0,59.03740121,32.38902742
122.6,0,58.97166779,32.28604505
122.7,0,58.90575474,32.18317757
122.8,0,58.83966224,32.08042528
122.9,0,58.77339052,31.9777885
123,0,58.70693976,31.87526755
123.1,0,58.64031016,31.77286273
123.2,0,58.57350194,31.67057436
123.3,0,58.5065153,31.56840274
123.4,0,58.43935043,31.46634819
123.5,0,58.37200754,31.36441103
123.6,0,58.30448685,31.26259155
123.7,0,58.23678855,31.16089008
123.8,0,58.16891285,31.05930691
123.9,0,58.10085996,30.95784237
124,0,58.03263008,30.85649676
124.1,0,57.96422342,30.75527038
124.2,0,57.8956402,30.65416355
124.3,0,57.82688061,30.55317657
124.4,0,57.75794488,30.45230976
124.5,0,57.6888332,30.35156342
124.6,0,57.6195458,30.25093785
124.7,0,57.55008287,30.15043336
124.8,0,57.48044464,30.05005026
124.9,0,57.41063131,29.94978886
125,0,57.3406431,29.84964946
125.1,0,57.27048022,29.74963236
125.2,0,57.20014288,29.64973787
125.3,0,57.12963131,29.54996629
125.4,0,57.0589457,29.45031794
125.5,0,56.98808628,29.3507931
125.6,0,56.91705327,29.25139209
125.7,0,56.84584688,29.15211521
125.8,0,56.77446733,29.05296275
125.9,0,56.70291483,28.95393503
126,0,56.63118961,28.85503234
